0,03335; 1,98868
0,03754; 2,20489
0,04180; 2,42827
0,04606; 2,64268
0,05032; 2,85109
0,05458; 3,06849
0,05884; 3,27391
0,06310; 3,46736
0,06737; 3,66381
0,07163; 3,86025
0,07589; 4,05370
0,08015; 4,22919
0,08441; 4,41267
0,08867; 4,59515
0,09293; 4,77064
0,09719; 4,94014
0,10145; 5,10067
0,10571; 5,26120
0,11004; 5,40255
0,11423; 5,59123
0,11849; 5,73680
0,12275; 5,89732
0,12701; 6,05785
0,13127; 6,20940
0,13554; 6,34798
0,13980; 6,52148
0,14406; 6,67901
0,14832; 6,82158
0,15258; 6,97612
0,15648; 7,10382
0,16039; 7,24947
0,16465; 7,42496
0,16891; 7,57352
0,17317; 7,72806
0,17743; 7,87063
0,18169; 7,99225
0,18595; 8,17373
0,19021; 8,35820
0,19447; 8,51573
0,19873; 8,68524
0,20300; 8,89366
0,20726; 9,03622
0,21152; 9,22668
0,21578; 9,42013
0,21968; 9,60170
0,22359; 9,78028
0,22749; 9,98400
0,23104; 10,18063
0,23409; 10,40355
0,23779; 10,59373
0,24347; 10,95068
0,24702; 11,20642
0,24986; 11,40772
0,25270; 11,61800
0,25554; 11,84174
0,25838; 12,07447
0,26158; 12,30142
0,26477; 12,53525
0,26761; 12,79940
0,27046; 13,04560
0,27294; 13,28739
0,27543; 13,50225
0,27756; 13,70074
0,27933; 13,95619
0,28146; 14,18311
0,28359; 14,45393
0,28537; 14,64004
0,28785; 14,90339
0,28892; 15,10604
0,29034; 15,35709
0,29211; 15,60087
0,29353; 15,79026
0,29531; 16,02925
0,29708; 16,28021
0,29850; 16,50731
0,29957; 16,71056
0,30111; 16,97356
0,30277; 17,23053
0,30395; 17,46967
0,30490; 17,60711
0,30596; 17,85106
0,30750; 18,19307
0,30892; 18,50398
0,31022; 18,77302
0,31129; 19,06008
0,31235; 19,25286
0,31342; 19,51747
0,31460; 19,84939
0,31555; 19,99281
0,31626; 20,22130
0,31732; 20,50416
0,31815; 20,74639
0,31933; 21,01546
0,32028; 21,30853
0,32158; 21,60750
0,32241; 21,87666
0,32336; 22,16375
0,32435; 22,39336
0,32513; 22,63919
0,32620; 22,94420
0,32691; 23,13258
0,32762; 23,40626
0,32868; 23,79209
0,32975; 24,13153
0,33046; 24,35283
0,33117; 24,64806
0,33188; 24,89121
0,33235; 25,11856
0,33330; 25,37572
0,33365; 25,55521
0,33462; 25,82433
0,33507; 26,09359
0,33543; 26,32696
0,33579; 26,56032
0,33661; 26,83547
0,33732; 27,21241
0,33870; 27,85137
0,33969; 28,21147
